Date,HomeTeam,AwayTeam,HC,AC
02/08/2025,Al Hamriyah,Emirates Club RAK,5,7
02/08/2025,Majd FC,Al Fujairah,0,10
02/08/2025,Dubai City,Hatta Dubai,9,2
02/08/2025,Al Thaid,Dibba Al Hisn,5,2
02/08/2025,Al Arabi Umm Al Quwain,Gulf United FC,3,7
02/08/2025,Dubai United,Al Urooba,5,4
02/08/2025,Emirates Club RAK,Al Ittifaq Dubai,3,2
02/08/2025,Hatta Dubai,Al Thaid,6,3
02/08/2025,Dibba Al Hisn,Al Hamriyah,8,5
02/08/2025,Al Jazira Al Hamra,Majd FC,10,3
02/08/2025,Al Fujairah,Dubai City,10,2
09/08/2025,Al Ittifaq Dubai,Dubai United,4,2
09/08/2025,Al Arabi Umm Al Quwain,Dubai United,5,4
09/08/2025,Al Ittifaq Dubai,Dibba Al Hisn,5,8
09/08/2025,Al Urooba,Emirates Club RAK,6,10
09/08/2025,Al Thaid,Al Fujairah,3,7
09/08/2025,Al Hamriyah,Hatta Dubai,5,5
09/08/2025,Al Jazira Al Hamra,Dubai City,7,3
09/08/2025,Masfout CSC,Gulf United FC,6,2
09/08/2025,Al Ittifaq Dubai,Al Urooba,7,8
09/08/2025,Al Hamriyah,Al Arabi Umm Al Quwain,3,2
09/08/2025,Dubai United,Masfout CSC,5,2
09/08/2025,Majd FC,Dubai City,2,5
16/08/2025,Dibba Al Hisn,Al Urooba,6,2
16/08/2025,Al Fujairah,Al Hamriyah,4,3
16/08/2025,Al Jazira Al Hamra,Al Thaid,5,3
16/08/2025,Emirates Club RAK,Al Arabi Umm Al Quwain,2,3
16/08/2025,Hatta Dubai,Al Ittifaq Dubai,8,1
16/08/2025,Gulf United FC,Dubai United,1,2
16/08/2025,Al Ittifaq Dubai,Al Fujairah,4,2
16/08/2025,Al Urooba,Hatta Dubai,9,1
16/08/2025,Al Hamriyah,Al Jazira Al Hamra,5,2
16/08/2025,Al Thaid,Majd FC,5,0
16/08/2025,Al Arabi Umm Al Quwain,Dibba Al Hisn,4,2
16/08/2025,Masfout CSC,Emirates Club RAK,4,3
19/08/2025,Al Fujairah,Dubai United,3,5
19/08/2025,Al Hamriyah,Al Ittifaq Dubai,5,4
19/08/2025,Al Fujairah,Dibba Al Hisn,6,6
19/08/2025,Dubai United,Majd FC,6,4
19/08/2025,Majd FC,Al Hamriyah,5,1
19/08/2025,Dubai City,Al Thaid,1,0
19/08/2025,Al Jazira Al Hamra,Al Ittifaq Dubai,3,5
19/08/2025,Al Fujairah,Al Urooba,7,3
19/08/2025,Dibba Al Hisn,Masfout CSC,4,7
19/08/2025,Emirates Club RAK,Gulf United FC,0,4
20/08/2025,Hatta Dubai,Al Arabi Umm Al Quwain,2,7
23/08/2025,Dubai United,Emirates Club RAK,1,8
